id,manufacturer_id,alias,brand_name,narrative,status,abbreviation,quickbook_brand_id,brand_path,is_active,updated_by,updated_date
1072,444,Brioso,Brioso,NULL,active,BRIO,80001AF7-1482432923,brioso,1,98,"2022-12-20 16:28:27"
1073,463,JFR,JFR,"<p>For the record, JFR stands for "Just For Retailers". Produced by Tropical Tobacco, Inc.—a company best known by its AGANORSA Leaf and Casa Fernández names, JFR has become a hugely popular stand alone brand consisting of a wide array of blends appealing to just about every smoker's tastes.</p>",active,JFR,80001B02-1482593697,jfr,1,106,"2023-04-03 16:31:02"
1074,469,Boveda,Boveda,NULL,active,BOV,80001BEA-1489681669,boveda,1,1,"2022-05-01 05:24:24"
1075,591,Zippo,Zippo,NULL,active,ZIP,80001C02-1489688440,zippo,1,106,"2023-02-01 15:59:28"
1076,487,Raw,Raw,NULL,active,RAW,80001C29-1489694642,raw,1,1,"2022-05-01 05:24:24"
1077,659,Fumari,Fumari,NULL,inactive,FUM,80001C8D-1490040699,fumari,0,98,"2023-11-10 05:28:03"
1078,437,"Nica Rustica","Nica Rustica",NULL,active,NIC,80001C93-1490118733,nica-rustica,1,106,"2023-01-04 16:42:19"
1079,659,AYC,AYC,NULL,inactive,AYC,80001CCB-1492007551,ayc,0,98,"2023-11-10 05:28:03"
1080,444,Torano,Torano,NULL,active,TOR,80001CE5-1492531779,torano,1,98,"2022-12-28 21:22:18"
1081,437,Deadwood,Deadwood,"<p>The Deadwood Cigar company was created in 2013 by Drew Estate founder Jonathan Drew and were created for and launched in a specialty retail cigar store in Deadwood, South Dakota, hence the name. Since then after going national in 2016, this boutique brand has added numerous styles and sizes including tins of small cigars.</p>",active,DEA,80001D47-1494347594,deadwood,1,121,"2022-10-10 11:36:54"
1082,712,"Hav-A-Tampa Jewels","Hav-A-Tampa Jewels",NULL,active,HAVA,80001D97-1495126484,hav-a-tampa-jewels,1,59,"2023-07-02 18:12:01"
1083,690,"Optimo Cigarillos","Optimo Cigarillos",NULL,inactive,OPT,80001DF9-1496242602,optimo-cigarillos,0,1,"2023-11-10 05:28:03"
1084,726,Muriel,Muriel,NULL,inactive,MUR,80001E0A-1497461909,muriel,0,149,"2023-11-10 05:28:03"
1085,712,"Dutch Masters","Dutch Masters",NULL,active,DUT,80001EAB-1499107095,dutch-masters,1,59,"2023-07-02 18:25:56"
1086,449,"Asylum 13","Asylum 13","<p>Asylum Cigars was founded in the summer of 2012 by Kevin Baxter and Tom Lazuka in collaboration with Christian Eiroa. Since then, the brand has gained huge acceptance throughout the entire industry.&nbsp;</p>",active,ASY,80001EF8-1499895973,asylum-13,1,121,"2022-10-05 10:48:14"
1087,439,Montecristo,Montecristo,NULL,active,MON,80001F29-1499975260,montecristo,1,1,"2022-05-01 05:24:24"
1088,464,"The Upsetters","The Upsetters","<p>Foundation owner Nick Melillo traveled to the island of Jamaica in 2015 to have some fun along with searching for the country’s rarely used tobacco. He soon located one of the oldest farms growing and processing leaves utilizing traditional methods that have been employed for over a thousand years. He then put his mad scientist hat on and combined his Master Blender skills by applying what he calls “Caribbean atmospheric herbal fusion” creating the Upsetter line. The short version &nbsp;is that the combination of this process with coveted Jamaican and vintage Nicaraguan leaves produced a series of cigars ranging from mild and smooth to medium-full bodied and beyond. Yes, they’re totally different and have become pleasant diversions for experienced smokers as well as newcomers.<br>&nbsp;</p>",active,THEU,8000201F-1501704504,the-upsetters,1,98,"2022-12-28 22:10:26"
1089,0,Maleta,Maleta,NULL,inactive,MAL,8000208F-1502919612,maleta,0,98,"2023-11-10 05:28:03"
1090,444,"General House Blend","General House Blend",NULL,active,GENE,8000209F-1503014125,general-house-blend,1,98,"2022-12-17 14:57:22"
1091,487,Zen,Zen,NULL,active,ZEN,800020D0-1503501056,zen,1,171,"2023-09-16 11:23:13"
1092,437,"Florida Sungrown","Florida Sungrown","<p>Founded in 2012, Florida Sun Grown is the first farm in Florida to grow long filler cigar tobacco since 1977. The Florida Sun Grown line was blended by Drew Estate Master Blender Willy Herrera over the course of two years, during which Drew Estate has been fermenting and processing the new crop. FSG by Drew Estate cigars have a three country blend of tobacco. The long filler has authentic Florida Sun Grown Corojo ’99 ligero tobacco from a 2014 crop combined with seco and viso tobaccos from Nicaragua. The Habano binder is from Honduras and the cigar is finished off with a lush Arapiraca Maduro wrapper from Brazil.</p>",active,FLO,8000218A-1505157115,florida-sungrown,1,98,"2022-12-22 11:54:07"
1093,659,Zico,Zico,NULL,inactive,ZIC,800021EE-1505595566,zico,0,98,"2023-11-10 05:28:03"
1094,459,Vertigo,Vertigo,NULL,active,VER,800021EF-1505595788,vertigo,1,59,"2022-05-01 13:06:50"
1095,444,CAO,CAO,NULL,active,CAO,80002208-1505859171,cao,1,98,"2022-12-20 17:34:19"
1096,693,"Neon Butane","Neon Butane",NULL,active,NEO,8000228A-1506539171,neon-butane,1,59,"2023-07-02 18:39:38"
1097,457,"Zip Lock","Zip Lock",NULL,active,ZIPL,80002293-1506547202,zip-lock,1,98,"2022-12-21 20:52:36"
1098,659,Juul,Juul,NULL,inactive,JUU,80002376-1508350772,juul,0,98,"2023-11-10 05:28:03"
1099,691,Entourage,Entourage,NULL,active,ENT,80002447-1510269139,entourage,1,59,"2023-07-02 18:26:40"
1100,690,BlackStone,BlackStone,NULL,active,BLACK,80002503-1510932854,blackstone,1,59,"2023-07-02 18:19:30"
1101,664,"Borkum Riff","Borkum Riff",NULL,active,BOR,80002515-1510939537,borkum-riff,1,98,"2022-12-20 16:10:10"
1102,581,Avanti,Avanti,"<p>The Avanti Cigar Company has such a rich and storied history, I encourage people to check out their website, https://www.avanticigar.com/our-history/. Today the Avanti Cigar Company remains the only producer of dry cured cigars in the United States. Using only the finest leaves from Kentucky and Tennessee and aging them for over two years. Their cigars are totally unique.&nbsp;</p>",active,AVA,8000251D-1511016827,avanti,1,98,"2022-12-20 14:52:55"
1103,581,"De Nobili","De Nobili",NULL,active,DEN,8000251E-1511016930,de-nobili,1,98,"2022-12-21 14:30:34"
1104,581,Parodi,Parodi,NULL,active,PARO,80002520-1511017149,parodi,1,98,"2023-01-06 13:43:46"
1105,659,Middleton,Middleton,NULL,inactive,MID,800025DB-1511533305,middleton,0,98,"2023-11-10 05:28:03"
1106,661,"Prince Albert","Prince Albert",NULL,active,PRIN,800025E1-1511534144,prince-albert,1,168,"2023-09-01 15:53:21"
1107,696,"Z Palma","Z Palma",NULL,active,ZPA,800025E5-1511534515,z-palma,1,149,"2023-08-30 17:17:06"
1108,661,"Carter Hall","Carter Hall",NULL,inactive,CART,800025E9-1511535008,carter-hall,0,168,"2023-11-10 05:28:03"
1109,662,"America's Best (Red Man)","America's Best Chew",NULL,active,"RED MAN",80002626-1512061375,americas-best-chew,1,98,"2023-02-17 16:09:00"
1110,659,Copenhagen,Copenhagen,NULL,inactive,COP,8000262C-1512063904,copenhagen,0,98,"2023-11-10 05:28:03"
1111,691,Bluntville,Bluntville,NULL,active,BLUNT,8000266B-1512576010,bluntville,1,59,"2023-07-02 18:26:08"
1112,506,"Colibri Cutters","Colibri Cutters","<p>In 1928, determined to improve the old-style lighter, Julius Lowenthal invents the world’s first working semi-automatic: the Swiss made, ‘Colibri Original.’ Since then, Colibri has become one of the world's best smoking accessory brands. In 2001 Colibri launched their line of cutters which has expanded and evolved into &nbsp;a widely accepted array of models.</p>",inactive,COL,800026A1-1512843625,colibri-cutters,0,98,"2023-11-10 05:28:03"
1113,443,Camacho,Camacho,NULL,active,CAM,8000271C-1514311708,camacho,1,98,"2022-12-20 16:57:39"
1114,638,"Tin Star","Tin Star",NULL,active,TIN,80002744-1515077449,tin-star,1,59,"2023-07-02 18:35:28"
1115,659,Bances,Bances,NULL,inactive,BAN,80002759-1516132105,bances,0,98,"2023-11-10 05:28:03"
1116,659,"OHM Pipe Tobacco","OHM Pipe Tobacco",NULL,inactive,OHM,80002760-1516143609,ohm-pipe-tobacco,0,98,"2023-11-10 05:28:03"
1117,526,Veritas,Veritas,NULL,active,VERI,8000278E-1516718382,veritas,1,98,"2022-12-28 21:12:33"
1118,444,"Foundry Elements","Foundry Elements",NULL,inactive,FOU,800027E7-1517008724,foundry-elements,0,106,"2023-11-10 05:28:03"
1119,439,"Casa De Garcia","Casa De Garcia",NULL,active,CAS,8000281F-1517329226,casa-de-garcia,1,1,"2022-05-01 05:24:24"
1120,664,Kite,Kite,NULL,active,KIT,8000283E-1517353715,kite,1,98,"2023-02-16 14:26:59"
1121,716,"Top Stone","Top Stone",NULL,inactive,TOPS,80002841-1517422875,top-stone,0,1,"2023-11-10 05:28:03"
1122,640,"Cuesta Rey","Cuesta Rey",NULL,active,CUE,80002843-1517424386,cuesta-rey,1,98,"2023-01-02 18:08:59"
1123,659,"PA Vapor Tax","PA Vapor Tax",NULL,inactive,PAV,800028B7-1518552035,pa-vapor-tax,0,106,"2023-11-10 05:28:03"
1124,685,Beechnut,Beechnut,NULL,active,BEE,800028B9-1518552164,beechnut,1,59,"2023-07-02 18:24:05"
1125,659,"A Turrent","A Turrent",NULL,inactive,ATU,800028C3-1518705082,a-turrent,0,98,"2023-11-10 05:28:03"
1126,444,"Hoyo De Monterrey","Hoyo De Monterrey",NULL,active,HOY,800028DA-1518709758,hoyo-de-monterrey,1,124,"2023-01-16 16:39:03"
1127,640,"La Unica","La Unica",NULL,active,LAU,800028E1-1518710356,la-unica,1,98,"2023-01-02 18:45:24"
1128,717,Topper,Topper,NULL,inactive,TOPP,800028F2-1518712006,topper,0,1,"2023-11-10 05:28:03"
1129,439,Trinidad,Trinidad,NULL,active,TRI,800028FE-1518713176,trinidad,1,98,"2022-12-28 21:17:48"
1130,638,"Bali Shag","Bali Shag",NULL,active,BAL,8000296B-1519837360,bali-shag,1,98,"2022-12-20 15:18:39"
1131,659,"La Boheme","La Boheme",NULL,inactive,LAB,800029A6-1520864308,la-boheme,0,98,"2023-11-10 05:28:03"
1132,659,Yarguera,Yarguera,NULL,inactive,YAR,800029EB-1520892239,yarguera,0,106,"2023-11-10 05:28:03"
1133,659,"Vape Accessories","Vape Accessories",NULL,active,VAP,80002AFE-1521917802,vape-accessories,1,98,"2022-12-17 14:06:31"
1134,659,Rave,Rave,NULL,inactive,RAV,80002B6A-1523301829,rave,0,98,"2023-11-10 05:28:03"
1135,659,"4 Ace 6 oz","4 Ace 6 oz",NULL,perged,4AC,80002B99-1524586860,4-ace-6-oz,0,98,"2023-11-10 05:28:03"
1136,463,"Casa Fernandez Miami","Casa Fernandez Miami","<p>The Casa Fernandez Miami line consists of an extensive array of brand entries encompassing numerous blends. All are produced by Aganorsa Leaf. In 1998, Eduardo Fernandez went to Nicaragua with a dream: to grow the finest tobacco in the world that captured the very essence of the Cuban cigars of old. To do this, he traveled to Cuba and assembled a world class team of Cuban agronomists who worked at the highest levels of Cubatabaco, in many cases for over half a century, and brought them to Nicaragua. &nbsp;These men who oversaw the production of tobacco during the heyday of Cuban cigars, knew exactly the taste they were famous for, and recognized they could recreate the style and aroma of Cuban leaf using traditional Cuban methods in conjunction with the resources available to them in Nicaragua. The tobacco they cultivated is named Aganorsa Leaf.</p>",active,CASA,80002C55-1525813471,casa-fernandez-miami,1,121,"2022-07-27 13:15:48"
1137,698,"High Hemp","High Hemp",NULL,active,HIGH,80002CDE-1526414765,high-hemp,1,1,"2023-07-21 02:53:15"
1138,659,Hookah,Hookah,NULL,active,HOO,80002DDF-1527027795,hookah,1,98,"2022-12-17 14:11:56"
1139,506,Colibri,Colibri,"<p>In 1928, determined to improve the old-style lighter, Julius Lowenthal invents the world’s first working semi-automatic: the Swiss made, ‘Colibri Original.’ Since then, Colibri has become one of the world's best smoking accessory brands.</p>",active,COLI,80002EB2-1528895687,colibri,1,98,"2023-01-27 17:46:59"
1140,659,Kratom,Kratom,NULL,inactive,KRA,800030EC-1533765154,kratom,0,98,"2023-11-10 05:28:03"
1141,487,"Pure Hemp","Pure Hemp",NULL,active,PURE,80003240-1537902435,pure-hemp,1,98,"2023-01-06 12:06:56"
1142,437,Ambrosia,Ambrosia,NULL,active,AMB,8000332F-1541694701,ambrosia,1,98,"2022-12-20 14:06:45"
1143,659,"Toke Token","Toke Token",NULL,inactive,TOK,80003368-1542470617,toke-token,0,98,"2023-11-10 05:28:03"
1144,693,"Grab Bags","Grab Bags",NULL,active,GRAB,80003380-1542841981,grab-bags,1,59,"2023-07-02 18:38:26"
1145,638,Largo,Largo,NULL,active,LARG,8000338C-1543439537,largo,1,98,"2022-07-25 12:55:02"
1146,659,Grinders,Grinders,NULL,inactive,GRI,800033ED-1545164914,grinders,0,106,"2023-11-10 05:28:03"
1147,528,"DBL Flavor Bundles","DBL Flavor Bundles",NULL,active,DBLF,8000344F-1546977588,dbl-flavor-bundles,1,1,"2022-05-01 05:24:24"
1148,724,"Lit Hemp Wraps","Lit Hemp Wraps",NULL,inactive,LIT,80003456-1546981067,lit-hemp-wraps,0,149,"2023-11-10 05:28:03"
1149,659,Zebra,Zebra,NULL,active,ZEB,8000349E-1548514851,zebra,1,98,"2022-12-17 13:59:22"
1150,538,Mya,Mya,NULL,inactive,MYA,800034AD-1548518408,mya,0,106,"2023-11-10 05:28:03"
1151,455,"Leaf by Oscar","Leaf by Oscar","<p>Oscar Valladares started in the cigar industry working for a travel agency taking Rocky Patel´s Group tours to his Factory. In a short time Rocky asked Oscar to be part of his team and for nine years they worked together. During this time, Oscar met Bayron Duarte, who worked for General Cigars for more than 20 years.</p><p>The Oscar Valladares Tobacco &amp; Co., is located in Danli, Honduras and started operating in 2012. The Factory was founded by Oscar Valladares, his brother Hector Valladares and Bayron Duarte. Since its inception, Oscar cigars have become more popular year after year with newcomers and seasoned smokers alike.&nbsp;</p>",active,LEA,800036D7-1557329641,leaf-by-oscar,1,121,"2022-11-27 11:22:42"
1152,659,"Wild Hemp","Wild Hemp",NULL,active,WIL,80003741-1559310526,wild-hemp,1,98,"2022-12-17 14:02:54"
1153,659,Aspire,Aspire,NULL,inactive,ASP,800037E1-1562018688,aspire,0,98,"2023-11-10 05:28:03"
1154,437,BOTL,BOTL,"<p>The initials BOTL &nbsp;stand for Brothers of the leaf which is an online organization created by Drew Estate's founder Jonathan Drew. The short version is that the group shares a passion for great cigars. What you need to know about these great cigars is that Master Blender WIllie Herrera sits at the helm of this small batch brand. These complex, medium to full bodied, very limited editions are similar to the coveted Liga Privada line.&nbsp;</p>",active,BOT,800038D2-1563989506,botl,1,121,"2023-01-03 09:23:10"
1155,569,"Southern Draw","Southern Draw","<p>Southern Draw Cigars was founded by US veterans Robert and Sharon Holt in 2014. All of their cigars are made exclusively at AJ Fernandez’s factory in Esteli, Nicaragua. Since the company's inception they've expanded their portfolio of brands considerably appealing to seasoned smokers and newcomers alike. Virtually all of their offerings have been highly rated and sought after.</p><p>&nbsp;</p>",active,SOU,80003971-1565208248,southern-draw,1,98,"2023-01-04 14:27:21"
1156,659,"Ultimate Herbs Capsules","Ultimate Herbs Capsules",NULL,active,ULT,80003A3A-1567715484,ultimate-herbs-capsules,1,98,"2022-12-17 14:02:33"
1157,659,Skoal,Skoal,NULL,active,SKO,80003BDE-1574201780,skoal,1,98,"2022-12-17 14:06:41"
1158,659,Kodiak,Kodiak,NULL,active,KOD,80003BDF-1574201831,kodiak,1,98,"2022-12-17 14:06:54"
1159,693,Grizzly,Grizzly,NULL,active,GRIZ,80003BE1-1574202107,grizzly,1,59,"2023-07-02 18:38:43"
1160,693,Swag,Swag,NULL,active,SWA,80003BF0-1574356061,swag,1,59,"2023-07-02 18:40:36"
1161,659,HF,HF.,NULL,active,HF,80003CF2-1581100015,hf,1,98,"2022-12-17 14:11:44"
1162,659,"Formula 420","Formula 420",NULL,inactive,FOR,80003D68-1583950242,formula-420,0,98,"2023-11-10 05:28:03"
1163,463,"Aganorsa Leaf","Aganorsa Leaf","<p>In 1998, Eduardo Fernandez went to Nicaragua with a dream: to grow the finest tobacco in the world that captured the very essence of the Cuban cigars of old. &nbsp;To do this, he traveled to Cuba and assembled a world class team of Cuban agronomists who worked at the highest levels of Cubatabaco, in many cases for over half a century, and brought them to Nicaragua. &nbsp;These men oversaw the production of tobacco during the heyday of Cuban cigars and knew exactly the taste they were famous for. Today, Aganorsa Leaf is one of the largest growers and suppliers of Nicaraguan tobacco for the premium cigar industry. The company is still owned by &nbsp;Fernández who started the Casa Fernandez brand and its various lines which are now produced in Miami. All his cigars are made with tobacco from his farms.<br>&nbsp;</p>",active,AGA,80003D7D-1585372174,aganorsa-leaf,1,98,"2022-12-20 12:28:10"
1164,437,Acid,Acid,"<p>In 1999, &nbsp;Jonathan Drew the founder of Drew Estate pioneered the little known technique of infusing aromas into cigar tobacco. The results have evolved into an extensive line of Acid Cigars becoming an “acquired taste” that has grown into one of the country’s biggest sellers. The Blondie, Kuba Kuba and others became must have products in every cigar store. Each style's taste is totally unique and brought in a whole new group of smokers. As time passed, many cigar aficionado “purists” came to enjoy these blends as a pleasant break from traditional smokes.<br>&nbsp;</p>",active,ACI,80003D7E-1585664230,acid,1,1,"2023-04-04 09:43:19"
1165,438,Ashton,Ashton,"<p>Robert Levin created the Ashton Cigar company 1985. Soon thereafter he partnered with the Arturo Fuente company to manufacture his cigars. Along with his son, the company continues to produce a “Top 3” super Premium brand in America for over three decades and is sold in over 60 countries around the world.</p>",active,ASH,80003D89-1586286194,ashton,1,121,"2022-05-23 14:23:43"
1166,463,"New Cuba","New Cuba","<p>New Cuba is owned by Eduardo Fernández who started the Casa Fernandez brand and its various lines. All three bundled styles of these Nicaraguan made cigars represent this powerhouse company's entry into the value priced premium category.</p>",active,NEW,80003D8B-1586298082,new-cuba,1,106,"2023-01-04 16:41:45"
1167,437,Balmoral,Balmoral,NULL,active,BALM,80003D92-1586356942,balmoral,1,98,"2022-12-17 14:05:49"
1168,439,"Aging Room","Aging Room","<p>Aging Room has established itself as one of the most exciting, craft oriented cigar brands in the market, achieving many accolades. It is one of the highest rated boutique cigar brand in the world, consistently earning some of the highest ratings by Cigar Aficionado and other industry groups since the brand debuted. Founded by Rafael Nodal and launched in 2011, Several Aging Room cigars are made by Jochy Blanco of Tabacalera La Palma in Tamboril, Dominican Republic. Other Aging Room brands are also produced in Nicaragua by Nestor Plasencia Jr. and A.J. Fernandez. All three cigar makers are considered Master Blenders to say the least. Aging room cigars are distributed by Altadis.</p>",active,AGI,80003D93-1586362096,aging-room,1,121,"2022-06-24 13:35:42"
1169,444,Panter,Panter,NULL,active,PAN,80003D97-1586364327,panter,1,98,"2023-01-06 14:08:05"
1170,444,"Panther Cigarillo 2 Pack","Panther Cigarillo 2 Pack",NULL,active,PANT,80003D98-1586365116,panther-cigarillo-2-pack,1,98,"2023-01-06 14:06:41"
1171,659,"San Pedro de Macoris","San Pedro de Macoris",NULL,inactive,SAN,80003D99-1586367626,san-pedro-de-macoris,0,106,"2023-11-10 05:28:03"
1172,585,"Al Capone","Al Capone",NULL,active,ALC,80003D9A-1586374229,al-capone,1,149,"2023-01-20 07:47:51"
1173,488,Caldwell,Caldwell,"<p>The Caldwell Cigar Company was created in 2014 by Robert Caldwell with a very simple agenda: to create special cigars using well aged rare tobaccos. Today, this highly sought after brand consists of over ten editions being made in three countries. In addition, the company is also known for its collaborations with many well known cigar makers and Master Blenders. In less than 10 years, the Caldwell name has become a must have for virtually any industry retailer and a must try for any cigar smoker.</p>",active,CAL,80003D9D-1586397322,caldwell,1,121,"2022-06-30 16:14:24"
1174,444,"CAO Flavors","CAO Flavors",NULL,active,CAOF,80003DB0-1586467455,cao-flavors,1,1,"2022-05-01 05:24:24"
1175,565,"Casa Magna","Casa Magna","<p>The Quesada family has been a part of the tobacco industry for over a century. When they first arrived in Cuba from Spain they were bakers. It was in the late 1800s that they began their tobacco business when a debt to the family was paid with tobacco.</p><p>Today Master Blender Manolo "Manny" Quesada works with his two daughters, Patricia and Raquel and his niece Esther Quesada. Now the fifth generation of the Quesada Family runs the manufacturing facility in the Dominican Republic with over 300 people in keeping the tradition of making premium cigars.&nbsp;</p><p>In 2008, Master Blender Manuel Quesada joined forces with Nicaragua’s largest grower of cigar tobacco, Nestor Plasencia, and created Casa Magna's first Colorado edition in Plasencia’s Segovia Cigar factory. The line would go on to receive sterling reviews, including the Cigar of the Year in 2008. Quesada would build on the success of the Colorado by adding more lines, each a slightly tweaked version of the original.&nbsp;</p>",active,CASAM,80003DB2-1586478817,casa-magna,1,121,"2022-08-04 15:33:30"
1176,540,"Casa Turrent","Casa Turrent","<p>The Turrent family are the biggest growers of the famed Mexican San Andreas wrapper leaf tobacco. In fact, they have been cultivating tobacco for over 100 years! The creators of the iconic TEAMO brand began producing the Casa Turrent blends for the US market in 2015. All of their entries contain tobacco grown on their own farm and have been highly rated.&nbsp;</p>",active,CASAT,80003DB3-1586479773,casa-turrent,1,98,"2022-12-21 08:20:49"
1177,504,Chubbys,Chubbys,NULL,inactive,CHU,80003DB4-1586480640,chubbys,0,106,"2023-11-10 05:28:03"
1178,449,CLE,CLE,"<p>It was in 2000 that &nbsp;a very young Master Blender named Christian Luis EIROA made his mark with the launching of the Camacho Corojo. Although the cigar was extraordinary, it was the marketing behind it that made all the difference. He began to host all of his customers in Honduras where the entire process was explained week after week for seven years. When Camacho Cigars was purchased in 2008, Christian remained with the company for the duration of the transition until 2011 when he decided to venture on his own.&nbsp;<br>In July of 2012 Christian once again returned to the cigar industry with the launch of C.L.E. Cigar Company. Eiroa owns the El Aladino factory in Danlí, Honduras, as well as several tobacco farms producing the CLE, Eiroa and Asylum brands among others.</p>",active,CLE,80003DB7-1586482048,cle,1,121,"2022-10-07 10:16:19"
1179,444,Cohiba,Cohiba,"<p>The Cohiba brand of premium cigars made outside of Cuba have been produced by General Cigar for over 25 years. While there have been and still are legal battles regarding the “Rights” to this iconic name, General has continued offering new sizes,style and blends under the Cohiba brand for decades.&nbsp;</p>",active,COH,80003DB8-1586482290,cohiba,1,121,"2022-12-22 08:59:52"
1180,701,"Cuban Rejects","Cuban Rejects",NULL,active,CUB,80003DB9-1586521334,cuban-rejects,1,59,"2023-07-02 18:29:12"
1181,701,Archetype,Archetype,"<p>Archetype is just one of the great brands brought to us by Ventura cigars. As you can see by the company's description, they're very proud of this blend.<br>"Archetype is an exploration of nuance that rewards the discriminating palate with a new line of highly-complex, yet perfectly balanced cigars. Each vitola is artfully crafted with a unique blend of rich, flavorful tobaccos and bound in a pristine wrapper—working in harmony to create an intense, memorable smoke that has no equal."<br>Considering the 90+ ratings achieved on every Archetype brand style, I couldn't agree with them more. While we apologize for the scarcity of these great cigars, whatever edition we do have on hand is worth a try</p>",active,ARC,80003DBA-1586534187,archetype,1,59,"2023-07-02 18:28:47"
1182,504,"Cuban Stock","Cuban Stock",NULL,active,CUBA,80003DBB-1586536317,cuban-stock,1,98,"2022-12-21 13:36:36"
1183,443,Cusano,Cusano,NULL,active,CUS,80003DBD-1586545944,cusano,1,1,"2022-05-01 05:24:24"
1184,659,"Debonaire do not use","Debonaire do not use",NULL,inactive,DEBO,80003DC2-1586568260,debonaire-do-not-use,0,98,"2023-11-10 05:28:03"
1185,608,Diesel,Diesel,"<p>Diesel cigars came to market in 2009. SInce then, the line has grown and become hugely popular. Produced by Master Blender A. J. Fernandez and brought to us by General Cigar's sister company Forged Cigars, this brand has achieved high ratings and has remained a consistent favorite among newcomers and seasoned smokers alike.</p>",active,DIE,80003DD3-1586575259,diesel,1,121,"2022-12-13 11:25:49"
1186,640,"Diamond Crown","Diamond Crown","<p>The Diamond Crown group represents the super premium offerings from J.C. Newman consisting of the Diamond Crown, Julius Caesar and Maximus brands,</p>",active,DIA,80003DD5-1586624537,diamond-crown,1,98,"2023-01-02 18:45:50"
1187,444,"Don Tomas","Don Tomas",NULL,active,DON,80003DD7-1586627214,don-tomas,1,1,"2022-05-01 05:24:24"
1188,449,Eiroa,Eiroa,NULL,active,EIR,80003DDB-1586631221,eiroa,1,1,"2022-05-01 05:24:24"
